name,tooltip,link
GIMP,Open source graphic design + photo manipulation software used for generating images; comparable to Adobe photoshop,https://www.gimp.org/
Inkscape,Open source software for working with vector graphics; comparable to Adobe Illustrator,https://inkscape.org/en/
